column_name,dtype
COLE_MCPIO_UBICACION_COLÓN,bool
COLE_MCPIO_UBICACION_CONCEPCIÓN,bool
COLE_MCPIO_UBICACION_CONCORDIA,bool
COLE_MCPIO_UBICACION_CONDOTO,bool
COLE_MCPIO_UBICACION_CONFINES,bool
COLE_MCPIO_UBICACION_CONSACÁ,bool
COLE_MCPIO_UBICACION_CONTADERO,bool
COLE_MCPIO_UBICACION_CONTRATACIÓN,bool
COLE_MCPIO_UBICACION_CONVENCIÓN,bool
COLE_MCPIO_UBICACION_COPACABANA,bool
COLE_MCPIO_UBICACION_COPER,bool
COLE_MCPIO_UBICACION_CORINTO,bool
COLE_MCPIO_UBICACION_COROMORO,bool
COLE_MCPIO_UBICACION_COROZAL,bool
COLE_MCPIO_UBICACION_CORRALES,bool
COLE_MCPIO_UBICACION_COTA,bool
COLE_MCPIO_UBICACION_COTORRA,bool
COLE_MCPIO_UBICACION_COVARACHÍA,bool
COLE_MCPIO_UBICACION_COVEÑAS,bool
COLE_MCPIO_UBICACION_COYAIMA,bool
COLE_MCPIO_UBICACION_CRAVO NORTE,bool
COLE_MCPIO_UBICACION_CUASPÚD,bool
COLE_MCPIO_UBICACION_CUBARRAL,bool
COLE_MCPIO_UBICACION_CUBARÁ,bool
COLE_MCPIO_UBICACION_CUCAITA,bool
COLE_MCPIO_UBICACION_CUCUNUBÁ,bool
COLE_MCPIO_UBICACION_CUCUTILLA,bool
COLE_MCPIO_UBICACION_CUMARAL,bool
COLE_MCPIO_UBICACION_CUMARIBO,bool
COLE_MCPIO_UBICACION_CUMBAL,bool
COLE_MCPIO_UBICACION_CUMBITARA,bool
COLE_MCPIO_UBICACION_CUNDAY,bool
COLE_MCPIO_UBICACION_CURILLO,bool
COLE_MCPIO_UBICACION_CURITÍ,bool
COLE_MCPIO_UBICACION_CURUMANÍ,bool
COLE_MCPIO_UBICACION_CUÍTIVA,bool
COLE_MCPIO_UBICACION_CÁCERES,bool
COLE_MCPIO_UBICACION_CÁCHIRA,bool
COLE_MCPIO_UBICACION_CÁCOTA,bool
COLE_MCPIO_UBICACION_CÁQUEZA,bool
COLE_MCPIO_UBICACION_CÉRTEGUI,bool
COLE_MCPIO_UBICACION_CÓMBITA,bool
COLE_MCPIO_UBICACION_CÓRDOBA,bool
COLE_MCPIO_UBICACION_CÚCUTA,bool
COLE_MCPIO_UBICACION_DABEIBA,bool
COLE_MCPIO_UBICACION_DAGUA,bool
COLE_MCPIO_UBICACION_DIBULLA,bool
COLE_MCPIO_UBICACION_DISTRACCIÓN,bool
COLE_MCPIO_UBICACION_DOLORES,bool
COLE_MCPIO_UBICACION_DONMATÍAS,bool
COLE_MCPIO_UBICACION_DOSQUEBRADAS,bool
COLE_MCPIO_UBICACION_DUITAMA,bool
COLE_MCPIO_UBICACION_DURANIA,bool
COLE_MCPIO_UBICACION_EBÉJICO,bool
COLE_MCPIO_UBICACION_EL BAGRE,bool
COLE_MCPIO_UBICACION_EL BANCO,bool
COLE_MCPIO_UBICACION_EL CAIRO,bool
COLE_MCPIO_UBICACION_EL CALVARIO,bool
COLE_MCPIO_UBICACION_EL CANTÓN DEL SAN PABLO,bool
COLE_MCPIO_UBICACION_EL CARMEN,bool
COLE_MCPIO_UBICACION_EL CARMEN DE ATRATO,bool
COLE_MCPIO_UBICACION_EL CARMEN DE BOLÍVAR,bool
COLE_MCPIO_UBICACION_EL CARMEN DE CHUCURÍ,bool
COLE_MCPIO_UBICACION_EL CARMEN DE VIBORAL,bool
COLE_MCPIO_UBICACION_EL CASTILLO,bool
COLE_MCPIO_UBICACION_EL CERRITO,bool
COLE_MCPIO_UBICACION_EL CHARCO,bool
COLE_MCPIO_UBICACION_EL COCUY,bool
COLE_MCPIO_UBICACION_EL COLEGIO,bool
COLE_MCPIO_UBICACION_EL COPEY,bool
COLE_MCPIO_UBICACION_EL DONCELLO,bool
COLE_MCPIO_UBICACION_EL DORADO,bool
COLE_MCPIO_UBICACION_EL DOVIO,bool
COLE_MCPIO_UBICACION_EL ENCANTO,bool
COLE_MCPIO_UBICACION_EL ESPINO,bool
COLE_MCPIO_UBICACION_EL GUACAMAYO,bool
COLE_MCPIO_UBICACION_EL GUAMO,bool
COLE_MCPIO_UBICACION_EL LITORAL DEL SAN JUAN,bool
COLE_MCPIO_UBICACION_EL MOLINO,bool
COLE_MCPIO_UBICACION_EL PASO,bool
COLE_MCPIO_UBICACION_EL PAUJÍL,bool
COLE_MCPIO_UBICACION_EL PEÑOL,bool
COLE_MCPIO_UBICACION_EL PEÑÓN,bool
COLE_MCPIO_UBICACION_EL PIÑÓN,bool
COLE_MCPIO_UBICACION_EL PLAYÓN,bool
COLE_MCPIO_UBICACION_EL RETORNO,bool
COLE_MCPIO_UBICACION_EL RETÉN,bool
COLE_MCPIO_UBICACION_EL ROBLE,bool
COLE_MCPIO_UBICACION_EL ROSAL,bool
COLE_MCPIO_UBICACION_EL ROSARIO,bool
COLE_MCPIO_UBICACION_EL SANTUARIO,bool
COLE_MCPIO_UBICACION_EL TABLÓN DE GÓMEZ,bool
COLE_MCPIO_UBICACION_EL TAMBO,bool
COLE_MCPIO_UBICACION_EL TARRA,bool
COLE_MCPIO_UBICACION_EL ZULIA,bool
COLE_MCPIO_UBICACION_EL ÁGUILA,bool
COLE_MCPIO_UBICACION_ELÍAS,bool
COLE_MCPIO_UBICACION_ENCINO,bool
COLE_MCPIO_UBICACION_ENCISO,bool
COLE_MCPIO_UBICACION_ENTRERRÍOS,bool
COLE_MCPIO_UBICACION_ENVIGADO,bool
COLE_MCPIO_UBICACION_ESPINAL,bool
COLE_MCPIO_UBICACION_FACATATIVÁ,bool
COLE_MCPIO_UBICACION_FALAN,bool
COLE_MCPIO_UBICACION_FILADELFIA,bool
COLE_MCPIO_UBICACION_FILANDIA,bool
COLE_MCPIO_UBICACION_FIRAVITOBA,bool
COLE_MCPIO_UBICACION_FLANDES,bool
COLE_MCPIO_UBICACION_FLORENCIA,bool
COLE_MCPIO_UBICACION_FLORESTA,bool
COLE_MCPIO_UBICACION_FLORIDA,bool
COLE_MCPIO_UBICACION_FLORIDABLANCA,bool
COLE_MCPIO_UBICACION_FLORIÁN,bool
COLE_MCPIO_UBICACION_FONSECA,bool
COLE_MCPIO_UBICACION_FORTUL,bool
COLE_MCPIO_UBICACION_FOSCA,bool
COLE_MCPIO_UBICACION_FRANCISCO PIZARRO,bool
COLE_MCPIO_UBICACION_FREDONIA,bool
COLE_MCPIO_UBICACION_FRESNO,bool
COLE_MCPIO_UBICACION_FRONTINO,bool
COLE_MCPIO_UBICACION_FUENTEDEORO,bool
COLE_MCPIO_UBICACION_FUNDACIÓN,bool
COLE_MCPIO_UBICACION_FUNES,bool
COLE_MCPIO_UBICACION_FUNZA,bool
COLE_MCPIO_UBICACION_FUSAGASUGÁ,bool
COLE_MCPIO_UBICACION_FÓMEQUE,bool
COLE_MCPIO_UBICACION_FÚQUENE,bool
COLE_MCPIO_UBICACION_GACHALÁ,bool
COLE_MCPIO_UBICACION_GACHANCIPÁ,bool
COLE_MCPIO_UBICACION_GACHANTIVÁ,bool
COLE_MCPIO_UBICACION_GACHETÁ,bool
COLE_MCPIO_UBICACION_GALAPA,bool
COLE_MCPIO_UBICACION_GALERAS,bool
COLE_MCPIO_UBICACION_GALÁN,bool
COLE_MCPIO_UBICACION_GAMA,bool
COLE_MCPIO_UBICACION_GAMARRA,bool
COLE_MCPIO_UBICACION_GARAGOA,bool
COLE_MCPIO_UBICACION_GARZÓN,bool
COLE_MCPIO_UBICACION_GIGANTE,bool
COLE_MCPIO_UBICACION_GINEBRA,bool
COLE_MCPIO_UBICACION_GIRALDO,bool
COLE_MCPIO_UBICACION_GIRARDOT,bool
COLE_MCPIO_UBICACION_GIRARDOTA,bool
COLE_MCPIO_UBICACION_GIRÓN,bool
COLE_MCPIO_UBICACION_GONZÁLEZ,bool
COLE_MCPIO_UBICACION_GRAMALOTE,bool
COLE_MCPIO_UBICACION_GRANADA,bool
COLE_MCPIO_UBICACION_GUACA,bool
COLE_MCPIO_UBICACION_GUACAMAYAS,bool
COLE_MCPIO_UBICACION_GUACARÍ,bool
COLE_MCPIO_UBICACION_GUACHENÉ,bool
COLE_MCPIO_UBICACION_GUACHETÁ,bool
COLE_MCPIO_UBICACION_GUACHUCAL,bool
COLE_MCPIO_UBICACION_GUADALAJARA DE BUGA,bool
COLE_MCPIO_UBICACION_GUADALUPE,bool
COLE_MCPIO_UBICACION_GUADUAS,bool
COLE_MCPIO_UBICACION_GUAITARILLA,bool
COLE_MCPIO_UBICACION_GUALMATÁN,bool
COLE_MCPIO_UBICACION_GUAMAL,bool
COLE_MCPIO_UBICACION_GUAMO,bool
COLE_MCPIO_UBICACION_GUAPOTÁ,bool
COLE_MCPIO_UBICACION_GUAPÍ,bool
COLE_MCPIO_UBICACION_GUARANDA,bool
COLE_MCPIO_UBICACION_GUARNE,bool
COLE_MCPIO_UBICACION_GUASCA,bool
COLE_MCPIO_UBICACION_GUATAPÉ,bool
COLE_MCPIO_UBICACION_GUATAQUÍ,bool
COLE_MCPIO_UBICACION_GUATAVITA,bool
COLE_MCPIO_UBICACION_GUATEQUE,bool
COLE_MCPIO_UBICACION_GUAVATÁ,bool
COLE_MCPIO_UBICACION_GUAYABAL DE SÍQUIMA,bool
COLE_MCPIO_UBICACION_GUAYABETAL,bool
COLE_MCPIO_UBICACION_GUAYATÁ,bool
COLE_MCPIO_UBICACION_GUTIÉRREZ,bool
COLE_MCPIO_UBICACION_GUÁTICA,bool
COLE_MCPIO_UBICACION_GÁMBITA,bool
COLE_MCPIO_UBICACION_GÁMEZA,bool
COLE_MCPIO_UBICACION_GÉNOVA,bool
COLE_MCPIO_UBICACION_GÓMEZ PLATA,bool
COLE_MCPIO_UBICACION_GÜEPSA,bool
COLE_MCPIO_UBICACION_GÜICÁN DE LA SIERRA,bool
COLE_MCPIO_UBICACION_HACARÍ,bool
COLE_MCPIO_UBICACION_HATILLO DE LOBA,bool
